cdf 0.1s 0.25s 0.5s 1s 1.5s 2s 2.5s 3s 3.5s 4s 4.5s 5s
25.5 0.013501182065155562 0.02869998812721347 0.04923330388947772 0.09590153302872234 0.14570265689046433 0.19600978912896122 0.24738420899918373 0.3009592430457369 0.3494374994402286 0.39323913697765445 0.43473231960443703 0.47570436441013386
26.0 0.013802150334134481 0.029382431595712154 0.050488932562853465 0.09863791640930686 0.14978767623144995 0.20163284010178223 0.2545664467055574 0.30925585301431624 0.35873875544184375 0.40368584118816453 0.4460933968862467 0.48836665797335116
26.5 0.014098476048462993 0.030042411079797632 0.0517297868417178 0.10139244456763442 0.15400725323789366 0.20731238244963524 0.2618175866683061 0.3177127733161888 0.3680575825402312 0.41432899288708414 0.4576070512366616 0.5010673706123594
27.0 0.014393036948493542 0.03074631286228718 0.05300864535118628 0.1042405302431426 0.15817779260348813 0.21317330855517314 0.2689094268772146 0.3263271585607895 0.3774679943349559 0.4251195052704948 0.4691429062788577 0.5137231487213704
27.5 0.01468899346176432 0.031429946031228694 0.05436900375957181 0.10705119472587589 0.16247401329327577 0.21904690743815908 0.2763144988076196 0.3348492666821537 0.38712138196298607 0.43592066541110785 0.48111327337752197 0.5266362793524495
28.0 0.014988277256855939 0.03210998010433286 0.05571542348222175 0.10990167202653289 0.1668854771664979 0.22508375188551016 0.2835467681866509 0.343503906625946 0.3971322411448951 0.44672353660695585 0.4931800008278064 0.539351010574966
28.5 0.01527858103412209 0.03283939435656867 0.057078434231094016 0.11274088348922756 0.17135148241390896 0.23112546044287458 0.2911076525403526 0.3521776388130278 0.4070911956453698 0.4577977692361632 0.5052173888705068 0.5519371595931015
29.0 0.015569440640526079 0.03350262899396521 0.05841331799851403 0.1156332180148996 0.17585096867062022 0.23716146902325516 0.2986342681490942 0.3609530035468118 0.4171999537862641 0.46889443197559105 0.5174621082294405 0.5648597527769552
29.5 0.015871016740474794 0.034222390126394 0.059729099719370043 0.11870181892633869 0.18034542467501566 0.24332170724150015 0.306289931859909 0.3696816662202119 0.4274691702187975 0.4804268558735525 0.5296062846064323 0.5778330156260858
30.0 0.016207098558820937 0.034967607179600874 0.06113745670258641 0.12162498574139963 0.18496413255142385 0.24952996386711845 0.31401929914442767 0.37846701230672697 0.437698199658209 0.4919244607567555 0.541796317934954 0.5912093256646822
30.5 0.01654282354648479 0.03571796588704905 0.0625576073921651 0.12463299996153579 0.18955821814546486 0.2559504745964173 0.32200160457436644 0.387488780317621 0.4479394658412116 0.5033793425985199 0.553849428976124 0.6043920336204098
